Deze csv werd beperkt tot 2000 resultaten.
Meer gegevens kunnen gevonden worden door de parameter 'pagina' toe te voegen aan de zoekstring.
 Eerste pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=1
 Laatste pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=76
 Volgende pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=2
id,type,naam,locatie,provincie,gemeente,deelgemeente,nummers,stijl,typologie,context,materiaal,plantensoort,datering,gga_motivatie,personen,gebeurtenissen,themas,geldig vanaf,geldig tot,geldigheid opmerkingen,besluiten,dataverantwoordelijke,toelatingsplichtige handelingen
1509,Beschermd varend erfgoed,Vedette van de Rijnvloot P904 Sambre,Onbepaald,Onbepaald,Onbepaald,Onbepaald,,,"binnenschepen, marineschepen, motorschepen",,"aluminium, staal",,na WO II,,,Project beschermingsdatabank 2013-2016,,2012-11-19,2020-10-28,opheffing,"14941, 14951, 5075",Agentschap Onroerend Erfgoed,nee
14771,Vastgesteld varend erfgoed,Motorjacht Avila,Onbepaald,Onbepaald,Onbepaald,Onbepaald,,,"motorschepen, pleziervaartuigen, zeeschepen",,hout,,na WO II,,,Vaststelling varend erfgoed 2017,,2017-06-16,,,14472,Agentschap Onroerend Erfgoed,nee
14819,Vastgesteld varend erfgoed,Kustvaarder SeaSens,Onbepaald,Onbepaald,Onbepaald,Onbepaald,,,"kustvaarders, motorschepen, vrachtschepen",,staal,,interbellum,,,Vaststelling varend erfgoed 2017,,2017-06-16,,,14472,Agentschap Onroerend Erfgoed,nee
14969,Vastgesteld varend erfgoed,Patrouilleboot P904 Sambre,Onbepaald,Onbepaald,Onbepaald,Onbepaald,,,"binnenschepen, marineschepen, motorschepen",,"aluminium, staal",,na WO II,,,Vaststelling varend erfgoed 2017,,2017-06-16,,,14472,Agentschap Onroerend Erfgoed,nee
14830,Vastgesteld varend erfgoed,Spits Esmeralda,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,"binnenschepen, motorschepen, vrachtschepen",,staal,,WO II,,Scheepswerven Van Praet-Dansaert en Van Damme (Uitvoerder),Vaststelling varend erfgoed 2017,,2017-06-16,,,14472,Agentschap Onroerend Erfgoed,nee
120870,"Gebied geen archeologie, gewestelijk",Gebied 7,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,"GGA Aalst, Vaststelling GGA 12",,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
120871,"Gebied geen archeologie, gewestelijk",Gebied 8,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,"GGA Aalst, Vaststelling GGA 12",,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
120872,"Gebied geen archeologie, gewestelijk",Gebied 9,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,"GGA Aalst, Vaststelling GGA 12",,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
121125,"Gebied geen archeologie, gewestelijk",Gebied 266,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,"bodemkaart, digitaal hoogtemodel",,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
121126,"Gebied geen archeologie, gewestelijk",Gebied 267,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,"bodemkaart, digitaal hoogtemodel",,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
121127,"Gebied geen archeologie, gewestelijk",Gebied 268,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,"bodemkaart, digitaal hoogtemodel",,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
121128,"Gebied geen archeologie, gewestelijk",Gebied 269,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,digitaal hoogtemodel,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
122789,"Gebied geen archeologie, gewestelijk",Gebied 1946,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,"bodemkaart, digitaal hoogtemodel",,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123022,"Gebied geen archeologie, gewestelijk",Gebied 2182,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,"GGA Aalst, Vaststelling GGA 12",,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123608,"Gebied geen archeologie, gewestelijk",Gebied 2773,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123762,"Gebied geen archeologie, gewestelijk",Gebied 2930,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123763,"Gebied geen archeologie, gewestelijk",Gebied 2931,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123764,"Gebied geen archeologie, gewestelijk",Gebied 2932,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123790,"Gebied geen archeologie, gewestelijk",Gebied 2959,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123791,"Gebied geen archeologie, gewestelijk",Gebied 2960,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123792,"Gebied geen archeologie, gewestelijk",Gebied 2961,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123793,"Gebied geen archeologie, gewestelijk",Gebied 2962,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123794,"Gebied geen archeologie, gewestelijk",Gebied 2963,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124362,"Gebied geen archeologie, gewestelijk",Gebied 3552,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124531,"Gebied geen archeologie, gewestelijk",Gebied 3729,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124609,"Gebied geen archeologie, gewestelijk",Gebied 3810,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,ontginning,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124610,"Gebied geen archeologie, gewestelijk",Gebied 3811,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,ontginning,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124611,"Gebied geen archeologie, gewestelijk",Gebied 3812,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,sanering,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124634,"Gebied geen archeologie, gewestelijk",Gebied 3836,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124651,"Gebied geen archeologie, gewestelijk",Gebied 3854,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
